operation,a,b,result,timestamp
add,2.0,3.0,5.0,2025-11-01T16:05:34.726648
add,1.4,1.2,2.5999999999999996,2025-11-01T16:05:34.726648
power,2.0,3.0,8.0,2025-11-01T16:05:34.726648
add,5.0,7.0,12.0,2025-11-01T16:11:39.247968
power,2.0,4.0,16.0,2025-11-01T16:11:39.247968
add,10.0,5.0,15.0,2025-11-01T16:11:39.247968
add,3.0,3.0,6.0,2025-11-01T16:11:39.247968
add,5.0,7.0,12.0,2025-11-01T16:15:48.572353+00:00
power,2.0,4.0,16.0,2025-11-01T16:15:48.572353+00:00
add,10.0,5.0,15.0,2025-11-01T16:15:48.572353+00:00
add,3.0,3.0,6.0,2025-11-01T16:15:48.572353+00:00
add,5.0,7.0,12.0,2025-11-01T16:24:33.260884+00:00
power,2.0,4.0,16.0,2025-11-01T16:24:33.260884+00:00
add,10.0,5.0,15.0,2025-11-01T16:24:33.260884+00:00
add,3.0,3.0,6.0,2025-11-01T16:24:33.260884+00:00
add,5.0,7.0,12.0,2025-11-01T16:27:19.837802+00:00
power,2.0,4.0,16.0,2025-11-01T16:27:19.837802+00:00
add,10.0,5.0,15.0,2025-11-01T16:27:19.837802+00:00
add,3.0,3.0,6.0,2025-11-01T16:27:19.837802+00:00
add,5.0,7.0,12.0,2025-11-01T16:34:19.351030+00:00
power,2.0,4.0,16.0,2025-11-01T16:34:19.351030+00:00
add,10.0,5.0,15.0,2025-11-01T16:34:19.351030+00:00
add,3.0,3.0,6.0,2025-11-01T16:34:19.351030+00:00
add,5.0,7.0,12.0,2025-11-01T16:36:09.998689+00:00
power,2.0,4.0,16.0,2025-11-01T16:36:09.998689+00:00
add,10.0,5.0,15.0,2025-11-01T16:36:09.998689+00:00
add,3.0,3.0,6.0,2025-11-01T16:36:09.998689+00:00
add,10.0,5.0,15.0,2025-11-01T16:37:46.149236+00:00
power,2.0,3.0,8.0,2025-11-01T16:37:46.149236+00:00
add,1.0,1.0,2.0,2025-11-01T16:37:46.149236+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:37:46.149236+00:00
add,2.0,3.0,5.0,2025-11-01T16:37:46.149236+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:37:46.149236+00:00
add,10.0,5.0,15.0,2025-11-01T16:41:22.325275+00:00
power,2.0,3.0,8.0,2025-11-01T16:41:22.325275+00:00
add,1.0,1.0,2.0,2025-11-01T16:41:22.325275+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:41:22.325275+00:00
add,2.0,3.0,5.0,2025-11-01T16:41:22.325275+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:41:22.325275+00:00
add,10.0,5.0,15.0,2025-11-01T16:42:08.402956+00:00
power,2.0,3.0,8.0,2025-11-01T16:42:08.402956+00:00
add,1.0,1.0,2.0,2025-11-01T16:42:08.402956+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:42:08.402956+00:00
add,2.0,3.0,5.0,2025-11-01T16:42:08.402956+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:42:08.402956+00:00
add,10.0,5.0,15.0,2025-11-01T16:48:11.824280+00:00
power,2.0,3.0,8.0,2025-11-01T16:48:11.824280+00:00
add,1.0,1.0,2.0,2025-11-01T16:48:11.824280+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:48:11.824280+00:00
add,2.0,3.0,5.0,2025-11-01T16:48:11.824280+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:48:11.824280+00:00
add,10.0,5.0,15.0,2025-11-01T16:50:59.128036+00:00
power,2.0,3.0,8.0,2025-11-01T16:50:59.128036+00:00
add,1.0,1.0,2.0,2025-11-01T16:50:59.128036+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:50:59.128036+00:00
add,2.0,3.0,5.0,2025-11-01T16:50:59.128036+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:50:59.128036+00:00
add,10.0,5.0,15.0,2025-11-01T16:56:00.173257+00:00
power,2.0,3.0,8.0,2025-11-01T16:56:00.173257+00:00
add,1.0,1.0,2.0,2025-11-01T16:56:00.173257+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:56:00.173257+00:00
add,2.0,3.0,5.0,2025-11-01T16:56:00.173257+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:56:00.173257+00:00
add,10.0,5.0,15.0,2025-11-01T16:57:24.021686+00:00
power,2.0,3.0,8.0,2025-11-01T16:57:24.021686+00:00
add,1.0,1.0,2.0,2025-11-01T16:57:24.021686+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:57:24.021686+00:00
add,2.0,3.0,5.0,2025-11-01T16:57:24.021686+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:57:24.021686+00:00
add,10.0,5.0,15.0,2025-11-01T16:58:42.377983+00:00
power,2.0,3.0,8.0,2025-11-01T16:58:42.377983+00:00
add,1.0,1.0,2.0,2025-11-01T16:58:42.377983+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:58:42.377983+00:00
add,2.0,3.0,5.0,2025-11-01T16:58:42.377983+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:58:42.377983+00:00
add,10.0,5.0,15.0,2025-11-01T16:59:38.005811+00:00
power,2.0,3.0,8.0,2025-11-01T16:59:38.005811+00:00
add,1.0,1.0,2.0,2025-11-01T16:59:38.005811+00:00
multiply,2.0,3.0,6.0,2025-11-01T16:59:38.005811+00:00
add,2.0,3.0,5.0,2025-11-01T16:59:38.005811+00:00
subtract,10.0,4.0,6.0,2025-11-01T16:59:38.005811+00:00
add,10.0,5.0,15.0,2025-11-01T17:00:41.429425+00:00
power,2.0,3.0,8.0,2025-11-01T17:00:41.429425+00:00
add,1.0,1.0,2.0,2025-11-01T17:00:41.429425+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:00:41.429425+00:00
add,2.0,3.0,5.0,2025-11-01T17:00:41.429425+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:00:41.429425+00:00
add,10.0,5.0,15.0,2025-11-01T17:28:58.188562+00:00
power,2.0,3.0,8.0,2025-11-01T17:28:58.188562+00:00
add,1.0,1.0,2.0,2025-11-01T17:28:58.188562+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:28:58.188562+00:00
add,2.0,3.0,5.0,2025-11-01T17:28:58.188562+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:28:58.188562+00:00
add,10.0,5.0,15.0,2025-11-01T17:29:50.723706+00:00
power,2.0,3.0,8.0,2025-11-01T17:29:50.723706+00:00
add,1.0,1.0,2.0,2025-11-01T17:29:50.723706+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:29:50.723706+00:00
add,2.0,3.0,5.0,2025-11-01T17:29:50.723706+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:29:50.723706+00:00
add,10.0,5.0,15.0,2025-11-01T17:31:42.421050+00:00
power,2.0,3.0,8.0,2025-11-01T17:31:42.421050+00:00
add,1.0,1.0,2.0,2025-11-01T17:31:42.421050+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:31:42.421050+00:00
add,2.0,3.0,5.0,2025-11-01T17:31:42.421050+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:31:42.421050+00:00
add,10.0,5.0,15.0,2025-11-01T17:32:49.693691+00:00
power,2.0,3.0,8.0,2025-11-01T17:32:49.693691+00:00
add,1.0,1.0,2.0,2025-11-01T17:32:49.693691+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:32:49.693691+00:00
add,2.0,3.0,5.0,2025-11-01T17:32:49.693691+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:32:49.693691+00:00
add,10.0,5.0,15.0,2025-11-01T17:43:50.315802+00:00
power,2.0,3.0,8.0,2025-11-01T17:43:50.315802+00:00
add,1.0,1.0,2.0,2025-11-01T17:43:50.315802+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:43:50.315802+00:00
add,2.0,3.0,5.0,2025-11-01T17:43:50.315802+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:43:50.315802+00:00
add,10.0,5.0,15.0,2025-11-01T17:45:55.640574+00:00
power,2.0,3.0,8.0,2025-11-01T17:45:55.640574+00:00
add,1.0,1.0,2.0,2025-11-01T17:45:55.640574+00:00
multiply,2.0,3.0,6.0,2025-11-01T17:45:55.640574+00:00
add,2.0,3.0,5.0,2025-11-01T17:45:55.640574+00:00
subtract,10.0,4.0,6.0,2025-11-01T17:45:55.640574+00:00
